site,author,game,score,score_adj,stars_mean,company,platform,genre,score_deviation
meristation,"Ricardo Fernández
RicardoFAndres",Persona 5 Strikers,8.7,4.35,3.92,SEGA,PS4 NSW PC,"Acción, Beat'em up                    ",-9.885057471264364
Gamereactor,Sergio Figueroa,Fitness Boxing 2: Rhythm & Exercise (Nintendo Switch),6.0,3.0,3.25,Nintendo, Nintendo Switch,Deportes,8.333333333333332
revogamers,Carlos Firás,Análisis de Phogs!,8.0,4.0,4.0,None,Nintendo Switch,None,0.0
meristation,David Arroyo,Super Meat Boy Forever,8.0,4.0,3.12,Team Meat,AND PC NSW PS4 XBO IPD,Plataformas                    ,-22.0
revogamers,Javier Aranda,Análisis de MindSeize,8.0,4.0,3.33,First Press Games,Nintendo Switch,"Acción, Aventura, Plataformas",-16.75
Vandal,Sergio Martín,MotoGP 21 - Análisis,7.8,3.9,3.83,Milestone,PS5 Xbox One Xbox Series X/S Switch PS4 PC,Motos Velocidad,-1.794871794871791
revogamers,Javier Aranda,Análisis de Re:Turn – One Way Trip,7.5,3.75,3.5,GMG Publishing,Nintendo Switch,"Aventura, Puzle",-6.666666666666668
meristation,"Rubén Martínez
ruvenmb",No More Heroes 2: Desperate Struggle,8.0,4.0,3.8,Marvelous AQL,NSW Wii,"Acción, Aventura                    ",-5.000000000000004
meristation,Rubén Vázquez,Breathedge,8.0,4.0,3.4,HypeTrain Digital,XBO NSW PC PS4,"Aventura, Acción                    ",-15.000000000000002
meristation,"Ricardo Fernández
RicardoFAndres",Crazy BMX World,7.0,3.5,3.75,Shinyuden,NSW,"Deportes, Plataformas                    ",7.142857142857142
revogamers,José Moreno,Análisis de A-Train: All Aboard! Tourism,7.0,3.5,3.33,None,Nintendo Switch,None,-4.857142857142856
Gamereactor,Joakin Sjögren,Tetris Effect: Connected - Espectáculo sensorial compartido,8.0,4.0,4.0,Enhance," PC, Xbox One, Xbox Series X",Puzle,0.0
revogamers,Javier Aranda,Análisis de TOHU,7.5,3.75,3.67,The Irregular Corporation,Nintendo Switch,"Aventura, Puzle",-2.1333333333333355
Gamereactor,Jonas Mäki,Bright Memory - Para olvidar,4.0,2.0,3.67,FYQD Personal Studio," PC, Xbox Series X",Acción,83.5
Gamereactor,Daniel Andersen,NBA 2K21 (PS5),8.0,4.0,3.25,2K Sports," Nintendo Switch, PC, PS4, PS5, Stadia, Xbox One, Xbox Series X",Deportes,-18.75
Gamereactor,Daniel Gómez (supervisado por Sergio Figueroa),World of Warcraft: Shadowlands (PC),8.0,4.0,3.75,Blizzard, PC,MMORPG,-6.25
meristation,"Laura Luna
LauraLunaLu",Just Dance 2021,7.5,3.75,3.83,Ubisoft,PS5 PS4 XBO NSW STD XBS,"Simulación, Musical                    ",2.1333333333333355
Vandal,Juan Rubio,Scott Pilgrim vs. The World: The Game - Complete Edition - Análisis,7.8,3.9,4.0,Ubisoft,PS4 Switch Xbox One PC,Acción Beat'em up,2.5641025641025665
meristation,Carlos Forcada,Natsuki Chronicles,8.1,4.05,4.0,Rising Star Games,XBO PC PS4,"Acción, Shoot'em up                    ",-1.2345679012345634
meristation,"Laura Luna
LauraLunaLu",Pendragon,7.0,3.5,3.33,inkle,PC,"Estrategia, Por turnos                    ",-4.857142857142856
Gamereactor,Kieran Harris,Doom Eternal (Nintendo Switch),9.0,4.5,4.0,Bethesda Softworks," Nintendo Switch, PC, PS4, PS5, Stadia, Xbox One, Xbox Series X",Acción,-11.111111111111109
Gamereactor,Jack Oxford,"Atelier Ryza 2: Lost Legends & the Secret Fairy (PS4, PS5, Switch, PC)",8.0,4.0,3.6,Koei Tecmo," Nintendo Switch, PS4, PC, PS5",RPG,-9.999999999999998
Vandal,Fran G. Matas,Medal of Honor: Above and Beyond - Análisis,6.9,3.45,2.38,Electronic Arts,PC,Realidad Virtual Shooter en primera persona,-31.014492753623195
meristation,"Marta Oller
martaaax00",Jurassic World Evolution: Complete Edition,6.8,3.4,3.44,Frontier Developments,NSW,"Estrategia, Gestión                    ",1.176470588235295
meristation,"Rocío Torrejón
SeraPhiim_",Room to Grow,6.8,3.4,2.8,Mischka Kamener,PC,Puzle                    ,-17.647058823529417
Gamereactor,Ben Lyons,"Worms Rumble (PS4, PS5, PC)",7.0,3.5,3.4,Team 17, PS5,Acción,-2.85714285714286
Vandal,Carlos Leiva,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition - Análisis,9.0,4.5,4.0,Square Enix,Xbox One Switch PS4 PC,JRPG Rol,-11.111111111111109
meristation,"Francisco J. Brenlla
franchuzas",Visage,8.0,4.0,3.62,SadSquare Studio,PC XBO PS4,Aventura                    ,-9.499999999999996
meristation,"Pablo González
Caith_Sith",Pumpkin Jack,7.6,3.8,3.8,Headup Games,PC XBO NSW PS4,Plataformas                    ,0.0
revogamers,Marcos Catalán,Análisis de Star Wars: Republic Commando,7.0,3.5,3.4,Aspyr Media,Nintendo Switch,"Acción, Aventura",-2.85714285714286
Gamereactor,Jonas Mäki,Yakuza: Like a Dragon,8.0,4.0,3.2,Sega," PS4, Xbox Series X, PC, Xbox One, PS5",Acción,-20.0
Gamereactor,Ricardo C. Esteves,World of Warcraft Versión 9.0,8.0,4.0,4.2,Blizzard Entertainment, PC,RPG,5.000000000000004
meristation,Rubén Vázquez,Batbarian: Testament of the Primordials,7.6,3.8,3.8,DANGEN Entertainment,NSW PC,"Plataformas, Acción                    ",0.0
revogamers,José Moreno,Analisis de Even the Ocean,8.5,4.25,4.25,None,Nintendo Switch,None,0.0
revogamers,Javier Aranda,Análisis de Two Parsecs from Earth,5.0,2.5,3.5,Ratalaika Games,Nintendo Switch,"Aventura, Plataformas",40.0
Vandal,Juan Rubio,FIFA 21 - Análisis,8.0,4.0,3.75,Electronic Arts,PS5 PS4 Xbox One PC Switch Xbox Series X/S,Deportes Fútbol,-6.25
revogamers,Javier Aranda,Análisis de Lost Words: Beyond the Page,7.5,3.75,3.67,Modus Games,Nintendo Switch,"Aventura, Plataformas",-2.1333333333333355
Vandal,Ramón Varela,Puyo Puyo Tetris 2 - Análisis,8.0,4.0,3.4,SEGA,PS4 Switch Xbox One Xbox Series X/S PS5 PC,Puzle,-15.000000000000002
revogamers,Javier Aranda,Análisis de Sumatra: Fate of Yandi,6.0,3.0,3.0,None,Nintendo Switch,None,0.0
Vandal,Edgar S. Fuentes,Visage - Análisis,8.7,4.35,3.86,Sadsquare Studio,PS4 PC Xbox One,Realidad Virtual Terror,-11.26436781609195
Vandal,Carlos Leiva,Immortals Fenyx Rising - Análisis,8.5,4.25,3.57,Ubisoft,Xbox Series X/S PC PS4 Switch Xbox One PS5,Aventura de acción Mundo abierto,-16.000000000000004
meristation,"Sergio C. González
Sergio5Glez",Manifold Garden,7.0,3.5,4.2,William Chyr Studio,NSW PC XBO PS4 XBS,Aventura                    ,20.000000000000004
Gamereactor,David Caballero,The Climb 2 (Oculus Quest 2),7.0,3.5,3.25,Crytek, Oculus Quest,Deportes,-7.142857142857142
revogamers,Carlos Firás,Análisis de Carto,7.5,3.75,4.0,Sunhead Games,Nintendo Switch,"Aventura, Puzle",6.666666666666668
meristation,José Luis Lópes de Garayo,Post Void,8.2,4.1,4.25,YCJY Games,PC,"Acción, First Person Shooter                    ",3.6585365853658622
meristation,"Salva Fernàndez
salbaFR",FIFA 21,7.6,3.8,3.0,Electronic Arts,PC PS5 XBS XBO NSW PS4,Deportes                    ,-21.052631578947363
revogamers,David Gómez,Análisis de Kingdom Hearts Melody of Memory,8.5,4.25,3.71,Square-Enix,Nintendo Switch,"Acción, Música",-12.705882352941178
revogamers,Javier Aranda,Análisis de Dicey Dungeons,8.5,4.25,3.67,Distractionware,Nintendo Switch,"Aventura, Roguelike, Rol (RPG)",-13.647058823529413
revogamers,Marcos Catalán,Análisis de FEZ,9.0,4.5,3.67,Polytron,Nintendo Switch,"Aventura, Otros, Plataformas, Puzle",-18.44444444444445
revogamers,Carlos Firás,Análisis de Turrican Flashback,8.0,4.0,3.5,None,Nintendo Switch,None,-12.5
revogamers,José Moreno,Análisis de Immortals Fenyx Rising,9.0,4.5,4.0,None,Nintendo Switch,None,-11.111111111111109
Gamereactor,Kieran Harris,Mundaun,7.0,3.5,3.25,MWM Interactive," Nintendo Switch, PC, PS4, PS5, Xbox One, Xbox Series X",Acción,-7.142857142857142
revogamers,Redaccion Revogamers,Análisis de Gal Gun Returns,7.5,3.75,3.67,None,Nintendo Switch,None,-2.1333333333333355
Gamereactor,Kieran Harris,Pac-Man 99,7.0,3.5,3.75,Bandai Namco Entertainment, Nintendo Switch,Puzle,7.142857142857142
revogamers,Marcos Catalán,Análisis de Monster Hunter Rise,8.5,4.25,3.46,Capcom,Nintendo Switch,"Acción, Aventura, Rol (RPG)",-18.58823529411765
Vandal,Fran G. Matas,Loop Hero - Análisis,8.5,4.25,3.89,Devolver Digital,PC,Action-RPG Roguelike,-8.470588235294112
Gamereactor,Fabrizia Malgieri,The Pathless - Una cacería mística,9.0,4.5,4.0,Annapurna Interactive," PS4, PC, PS5",Aventura,-11.111111111111109
revogamers,Javier Aranda,Análisis de Micetopia,6.0,3.0,3.0,Ratalaika Games,Nintendo Switch,"Aventura, Plataformas",0.0
meristation,"Sergio Melero
sermella",Alba: A Wildlife Adventure,8.0,4.0,4.33,ustwo,PC IPH IPD NSW,Aventura                    ,8.250000000000002
Gamereactor,Eko Putra Arif Budiman,Football Manager 2021 - Año de cambios,8.0,4.0,3.83,Sega," Android, PC, Xbox One, Xbox Series X",Simulación,-4.249999999999998
revogamers,Javier Aranda,Análisis de Projection: First Light,6.5,3.25,3.0,Blowfish Studios,Nintendo Switch,"Plataformas, Puzle",-7.6923076923076925
revogamers,José Moreno,Análisis de FUSER,8.0,4.0,4.33,None,Nintendo Switch,None,8.250000000000002
Gamereactor,Ben Lyons,Oddworld: Soulstorm,6.0,3.0,3.5,Sony," PC, PS4, PS5",Plataformas,16.666666666666664
Gamereactor,Kieran Harris,"The Medium (Xbox Series X, PC)",9.0,4.5,3.25,Bloober Team," Xbox Series X, PC",Terror,-27.777777777777782
Vandal,Carlos Leiva,Hyrule Warriors: La era del cataclismo - Análisis,7.8,3.9,3.25,Nintendo,Switch,Hack and Slash Musou,-16.666666666666664
meristation,"Salva Fernàndez
salbaFR",The Medium,7.5,3.75,3.5,Bloober Team,XBS PC,"Aventura, Acción                    ",-6.666666666666668
Vandal,Carlos Leiva,Yakuza: Like a Dragon - Análisis,8.4,4.2,3.8,Sega,PS4 Xbox Series X/S Xbox One PC PS5,JRPG Tipo GTA,-9.523809523809529
meristation,Cristian Ciuraneta,Gods Will Fall,6.5,3.25,3.5,Deep Silver,XBO NSW PC PS4 STD,"Aventura, Acción                    ",7.6923076923076925
Gamereactor,Ricardo C. Esteves,FIFA 21 (PS5 y Xbox Series X),6.0,3.0,2.67,Electronic Arts,None,Deportes,-11.000000000000005
Gamereactor,Juan A. Fonseca,Watch Dogs: Legion,8.0,4.0,3.86,Ubisoft," PS4, PC, Xbox One, Stadia, PS5, Xbox Series X",Acción,-3.500000000000003
Gamereactor,Roy Woodhouse,Necromunda: Underhive Wars,6.0,3.0,3.0,Focus Home Interactive," PC, PS4, Xbox One",RPG,0.0
Gamereactor,Kieran Harris,Observer: System Redux - Cyberterror,7.0,3.5,3.25,None," PS5, Xbox Series X",Terror,-7.142857142857142
Vandal,Ramón Varela,Empire of Sin - Análisis,7.5,3.75,3.43,Paradox Interactive,PC Xbox One Switch PS4,Estrategia por turnos Gestión - Tycoon,-8.53333333333333
meristation,Yago Lago,DARQ: Complete Edition,7.5,3.75,3.12,Unfold Games,PS4 XBO NSW PC,Aventura                    ,-16.799999999999994
meristation,David Arroyo,Space Crew,6.0,3.0,3.0,Curve Digital,PC PS4 XBO NSW,"Aventura, Simulación                    ",0.0
Vandal,Sergio Martín,Asterix & Obelix XXL Romastered - Análisis,7.5,3.75,4.0,Microids,PS4 Xbox One PC Switch,Aventura de acción,6.666666666666668
meristation,"Jose María Villalobos
JMVillalobos1",Capcom Arcade Stadium,8.5,4.25,3.83,Capcom,NSW,Acción                    ,-9.882352941176471
revogamers,Javier Aranda,Análisis de Tropico 6 – Nintendo Switch Edition,8.0,4.0,3.67,Kalypso Media,Nintendo Switch,"Estrategia, Simulación",-8.250000000000002
meristation,Aarón Rodríguez,Genshin Impact,8.0,4.0,4.0,miHoYo,PC IPH IPD AND NSW PS4 PS5,"RPG, Acción                    ",0.0
revogamers,Marcos Catalán,Análisis de Override 2: Super Mech League,6.0,3.0,3.33,Modus Games,Nintendo Switch,"Acción, Fiesta, Lucha",11.000000000000005
Gamereactor,Alberto Garrido,"Immortals: Fenyx Rising (PC, Switch, PS4, Xbox One)",8.0,4.0,3.71,Ubisoft," PC, PS4, Xbox One, Nintendo Switch, PS5, Xbox Series X",Acción,-7.250000000000001
meristation,Rubén Vázquez,Blue Fire,8.4,4.2,4.0,Graffiti Games,NSW PC PS4 XBO,"Aventura, Acción                    ",-4.7619047619047645
Vandal,Sergio Martín,Space Invaders Forever - Análisis,8.0,4.0,4.0,Taito,Switch PS4,Shoot'em up Shooter,0.0
meristation,Pedro Herrero,NBA 2K21,8.0,4.0,3.11,2K Games,PS5 XBS PC XBO NSW STD PS4,Deportes                    ,-22.250000000000004
Gamereactor,Damian Cholewa,Análisis Cyberpunk 2077: ¿Qué esconde Night City?,7.0,3.5,3.42,CD Projekt Red," PC, PS4, PS5, Stadia, Xbox One, Xbox Series X",RPG,-2.2857142857142883
Gamereactor,Ben Lyons,Outriders,8.0,4.0,3.0,Square Enix," PC, PS4, PS5, Stadia, Xbox One, Xbox Series X",Acción,-25.0
Gamereactor,Isabel M. Zurita,Say No! More,7.0,3.5,3.8,Thunderful Group," PC, Nintendo Switch, iOS",Simulación,8.571428571428566
meristation,Carlos Forcada,Oddworld: Soulstorm,7.5,3.75,3.57,Oddworld Inhabitants,PC PS4 PS5,"Aventura, Puzle                    ",-4.800000000000004
meristation,"Jose María Villalobos
JMVillalobos1",The Pathless,7.5,3.75,3.7,Annapurna Interactive,IPH IPD PS5 PC PS4,"Aventura, Acción                    ",-1.3333333333333286
Gamereactor,Ben Lyons,"Análisis de Rogue Company para PC, PS4, Xbox One y Switch",7.0,3.5,3.5,Hi-Rez Studios," Nintendo Switch, PC, PS4, Xbox One",Acción,0.0
meristation,"Sergio C. González
Sergio5Glez",Dirt 5,8.0,4.0,2.89,Codemasters,PS4 PC PS5 XBO STD XBS,Conducción                    ,-27.75
revogamers,Marcos Catalán,Análisis de Commandos 2 – HD Remaster,7.0,3.5,3.25,"Raylight Games, Yippee! Entertainment",Nintendo Switch,Estrategia,-7.142857142857142
Gamereactor,Ben Lyons,Destiny 2: Más allá de la Luz,8.0,4.0,4.17,Bungie," PC, PS4, Xbox One, PS5, Xbox Series X, Stadia",Acción,4.249999999999998
meristation,"Salva Fernàndez
salbaFR",Bright Memory,8.0,4.0,3.75,PLAYISM,PC XBS,"Acción, First Person Shooter                    ",-6.25
meristation,Alejandro Castillo - @acastillo117,Destiny 2: Más allá de la Luz ,7.8,3.9,3.6,Bungie,PS4 XBO STD PS5 XBS PC,"Acción, First Person Shooter                    ",-7.692307692307688
meristation,"Francisco J. Brenlla
franchuzas",NieR Replicant ver.1.22474487139...,8.5,4.25,3.71,Square Enix,PC XBO PS4,"Acción, RPG                    ",-12.705882352941178
revogamers,Javier Aranda,Análisis de Yuppie Psycho: Executive Edition,9.0,4.5,3.5,Baroque Decay,Nintendo Switch,Aventura,-22.222222222222218
revogamers,Javier Aranda,Análisis de When the Past was Around,7.0,3.5,4.0,Chorus Worldwide Games,Nintendo Switch,Puzle,14.285714285714285
meristation,"Salva Fernàndez
salbaFR",World of Demons,8.0,4.0,3.5,Platinum Games,IPH IPD,"Acción, Beat'em up                    ",-12.5
Vandal,Juan Rubio,Remothered: Broken Porcelain - Análisis,4.0,2.0,2.8,Modus Games,PC Switch Xbox One PS4,Aventura de acción Aventura narrativa Terror,39.99999999999999
Gamereactor,Ben Lyons,Main Assembly (PC),7.0,3.5,4.0,Team 17, PC,Simulación,14.285714285714285
revogamers,Javier Aranda,Análisis de Let’s Sing 13 (2021),8.0,4.0,3.75,Koch Media,Nintendo Switch,None,-6.25
Gamereactor,Sergio Figueroa,Ghosts 'n Goblins Resurrection (Nintendo Switch),7.0,3.5,3.8,Capcom, Nintendo Switch,Acción,8.571428571428566
Gamereactor,Àlex Gargallo,Monster Energy Supercross - The Official Videogame 4,6.0,3.0,3.5,Milestone," PC, PS4, PS5, Stadia, Xbox One, Xbox Series X",Deportes,16.666666666666664
Vandal,Saúl González,Call of Duty: Black Ops Cold War - Análisis,8.0,4.0,3.67,Activision,PS4 Xbox One PC PS5 Xbox Series X/S,Shooter en primera persona,-8.250000000000002
Vandal,Carlos Leiva,Chronos: Before the Ashes - Análisis,7.0,3.5,3.4,THQ Nordic,PS4 PC Xbox One Switch,Action-RPG Hack and Slash Tipo Souls,-2.85714285714286
meristation,"Francisco Alberto Serrano
faserranoacosta",Cloudpunk,8.0,4.0,3.67,ION LANDS,PC PS4 XBO NSW,Aventura                    ,-8.250000000000002
Vandal,Manu Delgado,Chicken Police - Análisis,7.5,3.75,3.38,HandyGames,PC Xbox One Switch PS4,Aventura narrativa Detectives Novela visual,-9.866666666666667
meristation,Rubén Vázquez,Stirring Abyss,7.8,3.9,3.8,Slitherine Strategies,PC,"RPG, Táctico, Por turnos                    ",-2.5641025641025665
revogamers,Javier Aranda,Análisis de Cyanide & Happiness – Freakpocalypse,7.0,3.5,3.0,Serenity Forge,Nintendo Switch,"Aventura, Puzle",-14.285714285714285
Vandal,Fran G. Matas,Star Wars: Tales from the Galaxy's Edge - Análisis,5.0,2.5,2.67,Disney,PC,Aventura de exploración y puzles Realidad Virtual,6.799999999999998
revogamers,Javier Aranda,Análisis de Serious Sam Collection,7.0,3.5,3.33,Devolver Digital,Nintendo Switch,Acción en primera persona (FPS),-4.857142857142856
meristation,Alejandro Castillo - @acastillo117,Dragon Quest XI S: Ecos de un pasado perdido - Edición definitiva,9.3,4.65,3.83,Square Enix,PS4 NSW PC XBO,"RPG, Por turnos                    ",-17.634408602150547
revogamers,Carlos Firás,Análisis de Steamroll,6.5,3.25,3.5,None,Nintendo Switch,None,7.6923076923076925
meristation,"Rocío Torrejón
SeraPhiim_",Torchlight III,6.8,3.4,3.57,Perfect World Entertainment,PS4 XBO PC NSW,"Acción, RPG                    ",4.999999999999998
Gamereactor,Kieran Harris,"Taxi Chaos (Nintendo Switch, PS4, PC, Xbox One)",4.0,2.0,2.75,None," Nintendo Switch, PC, PS4, Xbox One",Carreras,37.5
meristation,"Salva Fernàndez
salbaFR",Hyrule Warriors: La era del cataclismo,7.5,3.75,3.29,Nintendo,NSW,"Acción, Beat'em up                    ",-12.266666666666666
revogamers,Javier Aranda,Análisis de Space Otter Charlie,8.0,4.0,3.67,None,Nintendo Switch,None,-8.250000000000002
Vandal,Carlos Leiva,Cyber Shadow - Análisis,7.8,3.9,4.25,Yacht Club Games,PS4 PC Switch Xbox One PS5,Aventura de acción Plataformas 2D,8.974358974358976
Gamereactor,Ben Lyons,Spider-Man: Miles Morales para PS5,9.0,4.5,3.6,Sony Interactive Entertainment," PS5, PS4",Acción,-20.0
Vandal,Jorge Cano,Call of the Sea - Análisis,7.5,3.75,4.0,Raw Fury,PC Xbox Series X/S Xbox One PS4 PS5,Aventura narrativa,6.666666666666668
Vandal,Manu Delgado,Colossus Down - Análisis,7.0,3.5,3.8,Mango Protocol,PC Xbox One Switch PS4,Aventura de acción Multijugador Online,8.571428571428566
Gamereactor,Jack Oxford,Loop Hero (PC),9.0,4.5,3.8,Devolver Digital, PC,Acción,-15.55555555555556
meristation,Pedro Herrero,Werewolf: The Apocalypse - Earthblood,6.0,3.0,3.14,Nacon,PC PS4 XBO XBS PS5,"Acción, RPG                    ",4.666666666666671
Vandal,Fran G. Matas,Gods Will Fall - Análisis,5.5,2.75,3.0,Deep Silver,PS4 PC Switch Xbox One,Aventura de acción,9.090909090909092
Gamereactor,Kieran Harris,Before Your Eyes,9.0,4.5,3.67,Skybound Games, PC,Aventura,-18.44444444444445
revogamers,Mercedes R.,Análisis de Pikmin 3 Deluxe,9.0,4.5,3.83,Nintendo,Nintendo Switch,"Aventura, Estrategia",-14.888888888888886
revogamers,José Moreno,Análisis de Sam & Max Save the World Remastered,8.5,4.25,3.75,None,Nintendo Switch,None,-11.764705882352938
meristation,"Borja Ruete
borjaruete",Narita Boy,8.0,4.0,3.83,Team17,PC PS4 XBO NSW,"Aventura, Acción                    ",-4.249999999999998
Gamereactor,Kieran Harris,Harvest Moon: Un Mundo Único (Nintendo Switch),5.0,2.5,3.2,Rising Star Games, Nintendo Switch,Simulación,28.00000000000001
revogamers,Carlos Firás,Análisis de Mail Mole,6.0,3.0,3.67,None,Nintendo Switch,None,22.33333333333333
Vandal,Carlos Leiva,Mortal Kombat 11 Ultimate - Análisis,9.0,4.5,4.14,Warner Bros.,PS5 Xbox Series X/S,Lucha 3D Lucha,-8.000000000000009
Gamereactor,Jonas Mäki,Gears Tactics para Xbox Series X,8.0,4.0,4.0,Microsoft Studios," PC, Xbox One, Xbox Series X",Estrategia,0.0
Gamereactor,Eirik Hyldbakk Furu,Call of Duty: Black Ops Cold War,8.0,4.0,3.29,Activision," PC, PS4, PS5, Xbox One, Xbox Series X",Acción,-17.75
meristation,"Salva Fernàndez
salbaFR",Neogeo Pocket Color Selection Vol. 1,7.5,3.75,3.83,SNK Corporation,NSW,Acción                    ,2.1333333333333355
Vandal,Fran G. Matas,XIII - Análisis,5.0,2.5,2.14,Microids,PS4 Xbox One PC Switch,Shooter en primera persona,-14.399999999999995
meristation,Miguel Olmedo Morell,Nickelodeon Kart Racers 2: Grand Prix,7.0,3.5,3.25,GameMill Entertainment,NSW PS4 XBO PC,Conducción                    ,-7.142857142857142
meristation,"Ricardo Fernández
RicardoFAndres",Story of Seasons: Pioneers of Olive Town,8.5,4.25,4.0,XSEED Games,NSW,"Simulación, Gestión, Vida virtual                    ",-5.882352941176469
revogamers,Javier Aranda,Análisis de Alpaca Ball: Allstars,7.0,3.5,4.0,Badland Publishing,Nintendo Switch,"Aventura, Deportes, Fiesta",14.285714285714285
Gamereactor,Kieran Harris,"Monster Sanctuary (Switch, PS4, Xbox One, PC)",9.0,4.5,3.4,Team17,None,Acción,-24.44444444444445
Gamereactor,Alberto Garrido,Monster Hunter Rise,8.0,4.0,3.83,Capcom," Nintendo Switch, PC",Acción,-4.249999999999998
meristation,Alejandro Castillo - @acastillo117,Outriders,7.5,3.75,3.4,Square Enix,STD PC PS4 XBO PS5 XBS,"Acción, Disparos                    ",-9.333333333333336
Vandal,Juan Rubio,Olija - Análisis,7.5,3.75,3.5,Devolver Digital,PC Switch PS4 Xbox One,Aventura de acción,-6.666666666666668
meristation,"Laura Luna
LauraLunaLu",Paradise Killer,8.5,4.25,3.71,Fellow Traveller,PC NSW,Aventura                    ,-12.705882352941178
Gamereactor,Ben Lyons,"Scott Pilgrim vs. The World: The Game Complete Edition (PS4, Switch, PC, Xbox One)",8.0,4.0,3.5,Ubisoft," Nintendo Switch, PC, PS4, Stadia, Xbox One",Acción,-12.5
revogamers,Javier Aranda,Análisis de Part Time UFO,8.0,4.0,4.0,HAL Laboratory,Nintendo Switch,Puzle,0.0
meristation,Aarón Rodríguez,Gal Gun Returns,7.9,3.95,3.6,PQube,PC XBO NSW,"Acción, Disparos                    ",-8.860759493670887
meristation,"Ricardo Fernández
RicardoFAndres",Drawn to Life: Two Realms,6.0,3.0,3.25,505 Games,PC NSW IPH IPD AND,Aventura                    ,8.333333333333332
Vandal,Alberto González,Spacebase Startopia - Análisis,7.0,3.5,3.75,Kalypso Media,PC PS4 Xbox One PS5 Xbox Series X/S Switch,Construcción Gestión - Tycoon Simulador espacial,7.142857142857142
meristation,"Nacho Requena
nachomol",Age of Empires III: Definitive Edition,8.0,4.0,4.0,Xbox Game Studios,PC,"Estrategia, Tiempo real                    ",0.0
Gamereactor,Johan Vahlström,Ride 4,6.0,3.0,2.0,Milestone," Xbox One, PS4, PC, PS5, Xbox Series X",Carreras,-33.33333333333333
Gamereactor,Stefan Briesenick,Genshin Impact,7.0,3.5,3.0,None," PS4, PC, Nintendo Switch, iOS, Android, PS5",RPG,-14.285714285714285
meristation,"Pablo González
Caith_Sith",Kingdom Hearts: Melody of Memory,8.0,4.0,3.86,Square Enix,PS4 XBO NSW,"Acción, Musical                    ",-3.500000000000003
revogamers,Javier Aranda,Análisis de LUNA the Shadow Dust,7.0,3.5,4.0,Coconut Island Games,Nintendo Switch,"Aventura, Puzle",14.285714285714285
meristation,Alejandro Castillo - @acastillo117,Cyberpunk 2077,4.0,2.0,2.0,CD Projekt RED,XBO PS4 STD PC,"Acción, RPG                    ",0.0
meristation,"Borja Ruete
borjaruete",The Shore,5.5,2.75,3.4,Ares Dragonis,PC,Aventura                    ,23.636363636363637
Gamereactor,David Caballero,Super Mario 3D World + Bowser's Fury,9.0,4.5,3.86,Nintendo, Nintendo Switch,Plataformas,-14.222222222222225
meristation,"Virginia Mejías
arashhi",Fitness Boxing 2: Rhythm & Exercise,7.5,3.75,3.5,Nintendo,NSW,Deportes                    ,-6.666666666666668
